Id,Station_ID,Station_Name,River,District,Upazila,Station_Type,Latitude,Longitude,Chainage_km,Rain_Gauge,Rain_Gauge_Distance_km,Days_Observed,Days_Missing,Coverage_pct,ML_Target,Role
1,SW88A,Panka,Ganges,Nawabganj,Shibganj,Non Tidal,24.59997,88.10575,0.0,CL215,10.9,5478,1,99.98,False,Upstream predictor
2,SW88,Rajshahi,Ganges,Rajshahi,Boalia,Non Tidal,24.36103,88.57042,54.01,CL205,3.9,5478,1,99.98,False,Upstream predictor
3,SW89,Sardah,Ganges,Rajshahi,Charghat,Non Tidal,24.30611,88.71928,70.28,CL205,14.3,5236,243,95.56,False,Upstream predictor
4,SW90,Hardinge Bridge,Ganges,Pabna,Ishwardi,Non Tidal,24.07944,89.03361,110.92,CL15,7.3,5479,0,100.0,False,Upstream predictor
5,SW91,Talbaria,Ganges,Kushtia,Mirpur,Non Tidal,23.96306,89.08444,124.86,CL19,7.0,5447,32,99.42,False,Upstream predictor
6,SW91.1,Sengram,Ganges,Rajbari,Pangsha,Non Tidal,23.90306,89.36583,154.22,CL19,24.4,5478,1,99.98,False,Upstream predictor
7,SW91.2,Mohendrapur,Ganges,Rajbari,Rajbari Sadar,Non Tidal,23.79911,89.5778,178.68,CL30,7.8,5448,31,99.43,False,Upstream predictor
8,SW46.9L,Bahadurabad Transit,Jamuna,Jamalpur,Islampur,Non Tidal,25.13028,89.73464,,CL15,129.6,5205,274,95.0,False,Upstream predictor
9,SW50.6,Aricha,Jamuna,Manikganj,Shivalaya,Non Tidal,23.83663,89.77978,,CL30,16.5,5448,31,99.43,False,Upstream predictor
10,SW91.9R,Goalundo Transit,Padma,Rajbari,Goalandaghat,Non Tidal,23.76785,89.77881,199.43,CL30,14.0,5479,0,100.0,False,Upstream predictor
11,SW91.9L,Baruria Transit,Padma,Manikganj,Harirampur,Non Tidal,23.78434,89.81391,203.44,CL30,17.8,5448,31,99.43,True,Target
12,SW93.4L,Bhagyakul,Padma,Munshiganj,Sreenagar,Tidal,23.50587,90.21816,254.96,CL402,0.8,5479,0,100.0,True,Target
13,SW93.5L,Mawa,Padma,Munshiganj,Lohajang,Tidal,23.47478,90.25306,259.93,CL402,5.4,5472,7,99.87,False,Upstream predictor
14,SW94,Tarpasa,Padma,Munshiganj,Lohajang,Tidal,23.46621,90.33216,268.05,CL402,12.6,4084,1395,74.54,False,Excluded (gap)
15,SW95,Sureswar,Padma,Shariatpur,Naria,Tidal,23.31147,90.47589,290.66,CL413,19.0,5478,1,99.98,True,Target
16,SW273,Bhairab Bazar,Meghna,Kishoreganj,Bhairab,Tidal,24.04548,90.99107,,CL354,96.7,5448,31,99.43,False,Boundary predictor
17,SW277,Chandpur,Lower Meghna,Chandpur,Chandpur Sadar,Tidal,23.22905,90.6448,,CL354,1.6,5448,31,99.43,False,Boundary predictor
